Company,Ticker
Adidas AG,ADS.DE
Allianz SE,ALV.DE
BASF SE,BAS.DE
Bayer AG,BAYN.DE
Beiersdorf AG,BEI.DE
BMW AG,BMW.DE
Brenntag SE,BNR.DE
Continental AG,CON.DE
Covestro AG,1COV.DE
Deutsche Telekom AG,DTE.DE
Deutsche Post AG,DPWA.F
Deutsche Börse AG,DB1.DE
Siemens Energy AG,ENR.DE
E.ON SE,EOAN.DE
Fresenius Medical Care AG & Co. KGaA,FME.DE
Fresenius SE & Co. KGaA,FRE.DE
Henkel AG & Co. KGaA,HEN3.DE
Heidelberg Materials AG,HEI.DE
Hannover Rück SE,HNR1.DE
Infineon Technologies AG,IFX.DE
Linde PLC,LIN.DE
Merck KGaA,MRK.DE
MTU Aero Engines AG,MTX.DE
Munich Re AG,MUV2.DE
Porsche Automobil Holding SE,PAH3.DE
Puma SE,PUM.DE
Qiagen N.V.,QIA.DE
RWE AG,RWE.DE
SAP SE,SAP.DE
Siemens AG,SIE.DE
Sartorius AG,SRT3.DE
Symrise AG,SY1.DE
Vonovia SE,VNA.DE
Volkswagen AG,VOW3.DE
Zalando SE,ZAL.DE
Airbus SE,AIR.DE
Daimler Truck Holding AG,DTG.DE
Porsche AG,P91A.SG
Mercedes-Benz Group AG,MBG.DE
Rheinmetall AG,RHM.DE
